row_id	idx	total	scene_id	scene_path	step2_report	status	run_state	elapsed_sec	step3_ok	frames	path_length_m	visited_unique_cells	coverage_area_m2	continuity_valid_ratio	recovery_ratio	room_check_triggers_total	escape_attempts_total	fail_reason	traj_meta_json	log_path	worker_exit_code
1	1	24	a_hospital_corridor_in_china	/Users/sota/code/3d/room/a_hospital_corridor_in_china.glb	/Users/sota/code/3d_new/output/room_full/no-navi/step2/a_hospital_corridor_in_china/step2_floor_report.json	OK	DONE	10.079	True	186	36.131268540897885	13	1.5924999999999998	0.989247311827957	0.016129032258064516	0	3		/Users/sota/code/3d_new/output/room_full/step3_navi_round3/a_hospital_corridor_in_china/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3_navi_round3/_batch_logs/a_hospital_corridor_in_china.log	0
2	2	24	a_liminal_space	/Users/sota/code/3d/room/a_liminal_space.glb	/Users/sota/code/3d_new/output/room_full/no-navi/step2/a_liminal_space/step2_floor_report.json	OK	DONE	25.758	True	162	28.763347663931135	83	10.167499999999999	0.8888888888888888	0.11728395061728394	0	19		/Users/sota/code/3d_new/output/room_full/step3_navi_round3/a_liminal_space/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3_navi_round3/_batch_logs/a_liminal_space.log	0
3	3	24	abandoned_classroom	/Users/sota/code/3d/room/abandoned_classroom.glb	/Users/sota/code/3d_new/output/room_full/no-navi/step2/abandoned_classroom/step2_floor_report.json	FAIL	FAIL	0.816	False	0	0.0	0	0.0	0.0	0.0	0	0	STEP3_EXCEPTION	/Users/sota/code/3d_new/output/room_full/step3_navi_round3/abandoned_classroom/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3_navi_round3/_batch_logs/abandoned_classroom.log	0
4	4	24	apartamento	/Users/sota/code/3d/room/apartamento.glb	/Users/sota/code/3d_new/output/room_full/no-navi/step2/apartamento/step2_floor_report.json	FAIL	FAIL	2.343	False	5	0.0	1	0.12249999999999998	0.0	0.0	0	0	navi_no_plan	/Users/sota/code/3d_new/output/room_full/step3_navi_round3/apartamento/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3_navi_round3/_batch_logs/apartamento.log	0
5	5	24	art_gallery	/Users/sota/code/3d/room/art_gallery.glb	/Users/sota/code/3d_new/output/room_full/no-navi/step2/art_gallery/step2_floor_report.json	OK	DONE	11.940	True	192	36.01468283107193	81	9.9225	0.9114583333333334	0.09375	0	18		/Users/sota/code/3d_new/output/room_full/step3_navi_round3/art_gallery/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3_navi_round3/_batch_logs/art_gallery.log	0
6	6	24	bedroom_interior_design	/Users/sota/code/3d/room/bedroom_interior_design.glb	/Users/sota/code/3d_new/output/room_full/no-navi/step2/bedroom_interior_design/step2_floor_report.json	SKIP	SKIP	0.555	False	0	0.0	0	0.0	0.0	0.0	0	0	step2_not_ok		/Users/sota/code/3d_new/output/room_full/step3_navi_round3/_batch_logs/bedroom_interior_design.log	0
7	7	24	cafe_interior	/Users/sota/code/3d/room/cafe_interior.glb	/Users/sota/code/3d_new/output/room_full/no-navi/step2/cafe_interior/step2_floor_report.json	FAIL	FAIL	1.665	False	21	4.01792487395358	13	1.5924999999999998	0.9523809523809523	0.5238095238095238	0	11	outside_scene_or_blackframe	/Users/sota/code/3d_new/output/room_full/step3_navi_round3/cafe_interior/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3_navi_round3/_batch_logs/cafe_interior.log	0
8	8	24	caspar_herman_storms_salong_-_ladegarden	/Users/sota/code/3d/room/caspar_herman_storms_salong_-_ladegarden.glb	/Users/sota/code/3d_new/output/room_full/no-navi/step2/caspar_herman_storms_salong_-_ladegarden/step2_floor_report.json	OK	DONE	42.312	True	240	41.73123813614282	127	15.557499999999997	0.8666666666666667	0.1375	0	33		/Users/sota/code/3d_new/output/room_full/step3_navi_round3/caspar_herman_storms_salong_-_ladegarden/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3_navi_round3/_batch_logs/caspar_herman_storms_salong_-_ladegarden.log	0
9	9	24	conference_room1	/Users/sota/code/3d/room/conference_room1.glb	/Users/sota/code/3d_new/output/room_full/no-navi/step2/conference_room1/step2_floor_report.json	OK	DONE	15.272	True	240	42.42930068907003	133	16.292499999999997	0.8833333333333333	0.12083333333333333	0	29		/Users/sota/code/3d_new/output/room_full/step3_navi_round3/conference_room1/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3_navi_round3/_batch_logs/conference_room1.log	0
10	10	24	destroyed_abandoned_manufactory_-_small_02	/Users/sota/code/3d/room/destroyed_abandoned_manufactory_-_small_02.glb	/Users/sota/code/3d_new/output/room_full/no-navi/step2/destroyed_abandoned_manufactory_-_small_02/step2_floor_report.json	OK	DONE	22.188	True	159	36.211253889911	9	1.1024999999999998	0.9937106918238994	0.012578616352201259	0	2		/Users/sota/code/3d_new/output/room_full/step3_navi_round3/destroyed_abandoned_manufactory_-_small_02/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3_navi_round3/_batch_logs/destroyed_abandoned_manufactory_-_small_02.log	0
